year,school,pct_white,pct_black,pct_hispanic,pct_asian,pct_pi,pct_aian,pct_multi
2018,Carrboro Elementary,76.50,2.90,5.90,2.90,0.00,0.00,11.80
2018,Carrboro High,72.60,5.60,8.10,5.90,0.00,0.00,7.80
2018,Chapel Hill High,66.20,4.60,5.60,14.80,0.00,0.00,8.60
2018,Culbreth Middle,77.60,1.90,6.20,6.70,0.00,0.00,7.60
2018,East Chapel Hill High,59.80,4.90,6.30,21.30,0.00,0.00,7.40
2018,Ephesus Elementary,68.60,5.90,2.00,17.60,0.00,0.00,5.90
2018,Estes Hills Elementary,76.70,0.00,2.70,12.30,0.00,0.00,8.20
2018,FPG Elementary,63.40,0.00,22.00,9.80,0.00,0.00,4.90
2018,Glenwood Elementary,42.90,0.00,7.10,44.60,0.00,0.00,5.40
2018,McDougle Elementary,90.00,10.00,0.00,0.00,0.00,0.00,0.00
2018,McDougle Middle,74.40,3.40,7.10,8.80,0.00,0.00,6.30
2018,Morris Grove Elementary,78.80,1.90,1.90,11.50,0.00,0.00,5.80
2018,Northside Elementary,76.30,2.60,2.60,15.80,0.00,0.00,2.60
2018,Phillips Middle,62.20,5.20,5.60,21.50,0.00,0.00,5.60
2018,Phoenix Academy High,50.00,0.00,50.00,0.00,0.00,0.00,0.00
2018,Rashkis Elementary,45.30,12.80,10.70,25.80,0.00,0.00,5.50
2018,Scroggs Elementary,82.30,3.20,1.60,4.80,0.00,0.00,8.10
2018,Seawell Elementary,52.50,4.10,2.50,32.80,0.00,0.00,8.20
2018,Smith Middle,62.50,2.20,2.20,24.70,0.00,0.00,8.30
