year,school,white_male,white_female,black_male,black_female,his_male,his_female,asian_male,asian_female,pi_male,pi_female,aian_male,aian_female,multi_male,multi_female,total
2021,Carrboro Elementary,139,121,12,11,62,85,13,8,0,0,2,0,11,17,481
2020,Carrboro Elementary,149,128,13,15,64,94,11,6,0,0,2,0,12,19,513
2019,Carrboro Elementary,150,119,15,10,60,90,11,5,0,0,2,1,11,15,489
2018,Carrboro Elementary,133,131,12,12,58,94,12,5,0,0,0,1,14,14,486
2017,Carrboro Elementary,141,137,15,10,67,91,10,4,0,0,0,1,14,11,501
2016,Carrboro Elementary,139,138,17,14,70,89,6,4,0,0,0,1,11,11,500
2015,Carrboro Elementary,136,136,15,19,74,83,5,4,0,0,2,1,13,10,498
2014,Carrboro Elementary,127,139,18,18,72,63,3,5,0,0,2,1,7,6,461
2013,Carrboro Elementary,149,160,25,35,84,75,13,13,0,0,1,0,9,11,575
2012,Carrboro Elementary,150,147,27,28,88,67,16,13,1,0,0,1,17,27,582
2011,Carrboro Elementary,142,143,35,30,75,60,14,15,0,0,0,1,4,13,532
2021,Carrboro High,267,211,36,43,104,94,16,17,0,0,0,0,33,28,849
2020,Carrboro High,278,222,40,33,101,93,20,25,0,0,0,0,31,24,867
2019,Carrboro High,259,230,47,29,113,81,24,30,0,0,0,0,28,27,868
2018,Carrboro High,261,229,48,34,98,70,24,35,0,0,0,0,28,25,852
2017,Carrboro High,241,230,50,38,77,56,34,37,0,0,0,0,29,26,818
2016,Carrboro High,252,230,49,39,62,49,32,37,0,0,1,0,38,24,813
2015,Carrboro High,260,239,40,44,51,44,34,35,0,0,1,2,51,24,825
2014,Carrboro High,263,255,44,53,54,54,43,39,0,0,2,5,51,32,895
2013,Carrboro High,262,256,50,49,70,60,45,45,0,0,2,3,49,35,926
2012,Carrboro High,240,240,49,27,71,72,33,35,0,1,2,3,63,48,884
2011,Carrboro High,240,239,53,35,74,69,40,39,0,1,3,4,33,32,862
2021,Chapel Hill High,442,385,103,69,126,103,107,97,0,0,1,2,50,41,1526
2020,Chapel Hill High,427,389,84,72,132,110,105,100,0,0,4,2,55,42,1522
2019,Chapel Hill High,424,402,92,79,114,107,110,99,0,0,5,3,49,44,1528
2018,Chapel Hill High,441,390,89,97,119,106,107,101,0,0,5,7,54,50,1566
2017,Chapel Hill High,434,396,84,90,107,108,93,106,0,0,4,6,41,47,1516
2016,Chapel Hill High,425,366,91,90,105,99,86,99,0,1,5,6,42,48,1463
2015,Chapel Hill High,428,365,86,81,111,96,75,94,0,1,3,6,45,48,1439
2014,Chapel Hill High,415,343,82,75,106,89,81,101,0,1,4,3,50,62,1412
2013,Chapel Hill High,381,345,74,75,102,77,72,85,0,1,4,4,61,79,1360
2012,Chapel Hill High,380,349,69,63,92,77,74,78,0,0,5,2,70,94,1353
2011,Chapel Hill High,374,346,69,75,87,69,69,72,0,0,8,3,58,93,1323
2021,Culbreth Middle,204,187,44,39,92,101,14,17,0,0,2,0,24,21,745
2020,Culbreth Middle,222,210,39,39,90,100,20,19,0,0,1,0,31,26,797
2019,Culbreth Middle,206,202,34,37,71,80,22,28,0,0,1,0,27,20,728
2018,Culbreth Middle,203,197,28,36,64,74,27,19,0,0,1,0,27,18,694
2017,Culbreth Middle,217,207,32,29,64,63,32,28,0,0,1,0,26,13,712
2016,Culbreth Middle,214,211,34,23,56,56,31,35,0,0,1,0,29,19,709
2015,Culbreth Middle,204,201,34,21,51,51,32,37,0,0,1,0,27,22,681
2014,Culbreth Middle,221,219,42,38,40,33,30,28,0,0,0,1,23,21,696
2013,Culbreth Middle,216,196,50,44,41,37,38,23,0,0,0,0,30,18,693
2012,Culbreth Middle,219,187,35,33,43,38,31,30,1,0,3,1,33,28,682
2011,Culbreth Middle,213,177,23,22,49,37,25,37,0,0,3,0,45,42,673
2021,East Chapel Hill High,380,393,84,88,87,89,150,141,0,0,1,1,56,70,1540
2020,East Chapel Hill High,386,400,95,74,92,79,149,138,0,0,2,3,47,56,1521
2019,East Chapel Hill High,380,397,89,63,92,77,144,149,0,0,2,3,51,48,1495
2018,East Chapel Hill High,364,380,86,69,98,75,150,130,0,0,2,5,55,49,1463
2017,East Chapel Hill High,349,349,99,65,86,63,145,126,0,0,4,4,47,39,1376
2016,East Chapel Hill High,345,350,79,74,85,65,128,137,0,1,2,5,47,42,1360
2015,East Chapel Hill High,371,366,75,83,85,74,123,133,0,1,3,3,56,38,1411
2014,East Chapel Hill High,377,356,71,76,86,78,122,133,1,1,3,1,63,41,1409
2013,East Chapel Hill High,380,348,92,78,94,76,139,146,1,1,7,2,62,53,1479
2012,East Chapel Hill High,394,340,86,74,94,56,122,130,1,0,8,1,43,48,1397
2011,East Chapel Hill High,404,370,93,99,84,55,111,127,1,0,6,1,41,50,1442
2021,Ephesus Elementary,87,90,31,28,18,23,27,24,0,0,0,0,10,11,349
2020,Ephesus Elementary,100,108,27,25,23,21,31,26,0,0,0,0,16,13,390
2019,Ephesus Elementary,109,113,30,35,27,27,38,25,0,0,1,0,18,19,442
2018,Ephesus Elementary,121,104,20,21,24,25,34,21,0,0,0,0,14,12,396
2017,Ephesus Elementary,115,109,21,22,27,24,33,21,0,0,1,1,10,12,396
2016,Ephesus Elementary,142,110,21,26,29,24,33,25,0,0,1,2,6,19,438
2015,Ephesus Elementary,141,112,23,27,23,24,23,24,0,0,1,2,11,17,428
2014,Ephesus Elementary,134,119,27,27,19,24,29,24,0,0,0,2,11,17,433
2013,Ephesus Elementary,130,98,34,32,47,38,36,41,0,0,1,2,13,10,482
2012,Ephesus Elementary,104,84,35,34,52,40,29,37,0,0,1,2,27,25,470
2011,Ephesus Elementary,111,81,48,43,45,35,29,21,0,0,1,2,12,9,437
2021,Estes Hills Elementary,104,111,19,29,29,24,24,19,0,0,0,0,18,15,392
2020,Estes Hills Elementary,117,123,17,31,34,29,28,15,0,0,0,0,20,16,430
2019,Estes Hills Elementary,131,142,17,28,41,29,29,19,0,0,0,0,21,17,474
2018,Estes Hills Elementary,146,130,24,28,40,30,33,22,0,0,1,1,20,16,491
2017,Estes Hills Elementary,145,117,18,29,46,35,41,15,0,0,1,1,19,22,489
