school,white_rate,black_rate,hispanic_rate,asian_rate,multi_rate
Carrboro Elementary,0,0,0,0,0
Carrboro High,12,136.99,41.24,22.22,90.91
Chapel Hill High,3.68,160.26,0,0,103.09
Culbreth Middle,13.89,153.85,26.32,,105.26
East Chapel Hill High,5.09,147.93,17.54,6.97,29.13
Ephesus Elementary,0,18.18,0,,33.33
Estes Hills Elementary,4.13,81.63,,,0
FPG Elementary,,,3.17,,
Glenwood Elementary,0,0,0,0,0
McDougle Elementary,0,24.39,22.47,,28.57
McDougle Middle,5.14,60.61,6.25,,
Morris Grove Elementary,6.37,0,0,,20.41
Northside Elementary,0,0,0,0,0
Phillips Middle,17.29,387.1,31.58,12.74,80
Phoenix Academy High,,,0,,
Rashkis Elementary,0,0,0,0,0
Scroggs Elementary,4.03,100,42.55,,111.11
Seawell Elementary,5.18,111.11,,17.14,
Smith Middle,19.61,58.82,53.19,12.42,17.86
